"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"348","M",1,2,10,2,9,1,2,0.99288,1,1,3,5,4,5,1,-1,1,2,3,0.5,0.75,1,1,1,1,0,2,2,2,2,4,2,3,2,3,0,2,2,3,3,3,1,2,1,4
"349","M",1,1,8,1,1,2,1,0.36464,0,0,1,3,2,1,1,0,-1,1,1,0.625,0.25,0.75,1,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,2,2,2,1,1,2
"350","F",1,2,12,2,9,1,9,1.7377,1,1,3,4,4,5,1,1,1,2,5,0.75,0.75,1,0,1,0,0,2,2,2,2,4,2,3,2,3,0,NA,2,1,3,3,1,2,1,4
"351","M",1,1,9,1,1,2,2,0.36464,0,0,1,3,3,2,-1,-1,-1,2,-1,0.25,0.25,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"352","F",2,9,9,1,1,9,2,0.80748,0,0,2,3,3,3,-1,0,-1,1,-1,0.375,0.25,0.75,1,0,1,0,1,1,1,1,4,1,1,3,1,1,2,1,NA,2,1,2,1,1,2
"353","M",1,1,5,1,1,2,2,0.31728,0,0,1,2,3,2,1,-1,-1,2,1,0.5,0.25,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,3,2,3,NA
"354","F",2,2,10,2,9,1,1,0.28926,1,1,3,5,5,5,-1,-1,1,2,1,0.25,0.75,1,1,0,1,1,2,2,2,2,5,2,3,2,3,0,1,1,2,3,3,1,2,3,4
"355","F",1,2,12,2,9,1,1,1.10387,1,1,2,4,3,3,0,2,2,2,6,0.75,1,1,0,1,0,0,2,2,2,2,5,2,3,2,3,0,1,NA,1,3,3,2,3,1,2
"356","F",2,1,1,1,2,2,2,0.32783,0,0,1,1,2,1,-2,-1,0,-1,-4,0.125,0.5,0.25,1,0,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,2,1,2,1,2,1
"357","F",2,9,9,1,1,9,2,4.19729,0,0,2,3,3,3,1,0,0,-1,0,0.625,0.5,0.25,0,0,0,0,1,1,1,1,5,1,1,3,1,1,2,1,2,2,1,2,1,2,1
"358","F",2,2,10,1,1,2,2,0.29655,1,1,2,5,3,3,0,0,1,2,3,0.5,0.75,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,3,2,1,1,2
"359","F",2,2,10,2,1,1,3,0.90521,1,1,3,5,4,5,1,-1,1,2,3,0.5,0.75,1,1,0,1,0,2,2,2,2,5,2,1,2,3,0,3,NA,2,3,3,1,1,1,3
"360","F",2,1,2,1,1,2,3,1.01831,0,0,1,1,2,1,0,0,-1,0,-1,0.5,0.25,0.5,0,0,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,2,2,3,3,2,NA
"361","F",2,1,8,1,2,2,2,5.08774,0,0,1,3,2,1,-2,-2,0,0,-4,0,0.5,0.5,0,0,0,0,3,3,1,3,1,1,2,1,1,0,2,1,NA,2,2,2,1,2,1
"362","M",1,1,5,1,1,2,2,2.32987,0,0,1,2,2,1,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"363","F",2,2,10,2,2,1,1,0.78763,1,1,3,5,3,4,1,1,0,2,4,0.75,0.5,1,1,0,1,0,2,2,2,2,5,2,2,2,3,0,1,2,2,3,3,2,1,1,2
"364","M",1,9,6,1,1,9,2,0.50953,0,0,2,2,3,3,2,0,1,2,5,0.75,0.75,1,1,1,1,1,4,1,1,4,1,1,1,3,4,0,2,2,1,2,3,1,2,3,4
"365","F",2,2,10,2,9,1,1,0.90521,1,1,3,5,5,5,0,2,2,2,6,0.75,1,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,1,2,2,3,3,1,2,1,4
"366","M",2,1,5,1,1,2,2,0.46454,0,0,1,2,1,1,-2,-1,-2,0,-5,0.125,0,0.5,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,3,2,NA
"367","M",2,1,4,1,1,2,2,0.4581,0,0,1,2,3,2,1,1,-1,1,2,0.75,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,2,1,2,1
"368","F",1,2,10,2,1,1,1,0.99288,1,1,3,5,4,5,0,-2,1,2,1,0.25,0.75,1,1,1,1,0,2,2,2,2,4,2,1,2,2,0,1,1,3,3,3,1,2,1,4
"369","M",2,1,2,1,1,2,1,1.00419,0,0,1,1,2,1,-1,0,0,-1,-2,0.375,0.5,0.25,0,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,2,1
"370","F",2,1,9,1,1,9,1,0.85871,0,0,3,3,4,5,-1,0,0,1,0,0.375,0.5,0.75,1,0,1,0,1,1,1,1,4,1,1,3,3,0,1,1,2,1,2,1,1,1,3
"371","F",2,1,9,1,1,9,1,0.33244,0,0,3,3,2,4,-1,-1,0,1,-1,0.25,0.5,0.75,1,0,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,2,1,2,1,2,1
"372","M",1,1,8,1,1,2,3,0.50953,0,0,3,3,3,4,0,-2,0,-2,-4,0.25,0.5,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3,1,2,2,2,1,1,2
"373","M",2,2,10,2,9,1,1,0.57786,1,1,3,5,3,4,1,1,2,2,6,0.75,1,1,1,0,1,0,2,2,2,2,4,2,3,2,2,0,1,3,3,3,3,2,1,1,2
"374","F",2,2,12,1,1,1,2,0.46454,1,0,3,4,3,4,-2,0,0,2,0,0.25,0.5,1,1,0,1,1,1,1,1,1,2,1,1,2,2,0,2,1,2,3,3,2,1,1,2
"375","M",1,2,12,2,2,1,1,0.63383,1,1,3,4,5,5,2,1,2,0,5,0.875,1,0.5,1,1,1,0,2,2,2,2,4,2,2,2,3,0,1,2,3,3,3,3,1,1,NA
"376","M",1,2,10,2,1,9,2,0.86392,1,0,2,5,3,3,1,1,1,1,4,0.75,0.75,0.75,1,1,1,0,2,2,2,2,1,2,1,3,1,0,2,1,1,2,1,2,1,3,NA
"377","M",1,2,10,2,9,1,1,0.32527,1,1,3,5,4,5,-1,-1,0,-2,-4,0.25,0.5,0,1,1,1,1,2,2,2,2,5,2,3,2,3,0,1,1,1,2,3,1,1,1,3
"378","F",1,2,12,2,9,1,1,0.71054,1,1,3,4,4,5,1,1,1,2,5,0.75,0.75,1,1,1,1,0,2,2,2,2,5,2,3,2,2,0,1,2,2,3,3,1,2,1,4
"379","M",1,2,12,2,9,1,1,0.71054,1,1,3,4,4,5,1,1,1,2,5,0.75,0.75,1,1,1,1,0,2,2,2,2,5,2,3,2,2,0,1,1,2,3,3,1,2,1,4
"380","F",2,1,4,1,1,2,2,0.4042,0,0,1,2,2,1,-1,1,-1,1,0,0.5,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"381","F",1,2,10,9,9,9,2,5.4221,1,0,3,5,3,4,2,2,-1,1,4,1,0.25,0.75,0,1,1,0,2,2,2,2,5,3,3,3,4,0,2,1,2,3,2,2,1,1,2
"382","F",2,1,8,1,1,2,2,0.33244,0,0,2,3,3,3,2,0,1,2,5,0.75,0.75,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"383","M",1,2,10,9,9,9,3,0.61825,1,0,3,5,4,5,2,1,1,-2,2,0.875,0.75,0,1,1,1,0,2,2,2,2,5,3,3,3,3,0,3,2,1,2,1,2,3,3,NA
"384","M",1,2,12,2,9,1,1,0.71054,1,1,3,4,4,5,-1,-1,0,2,0,0.25,0.5,1,1,1,1,0,2,2,2,2,5,2,3,2,2,0,1,1,1,2,3,1,2,1,4
"385","M",1,1,5,1,2,2,2,0.61763,0,0,1,2,3,2,-1,1,-1,1,0,0.5,0.25,0.75,1,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"386","M",1,1,1,1,2,2,2,2.48214,0,0,1,1,1,1,1,1,0,-1,1,0.75,0.5,0.25,0,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,2,2,1,2,1,2,1
"387","F",2,1,1,1,1,2,2,0.33244,0,0,1,1,1,1,-2,-2,-2,2,-4,0,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,3,1,2,1,2,1
"388","M",1,1,8,1,1,2,2,0.45452,0,0,3,3,4,5,-1,-2,0,1,-2,0.125,0.5,0.75,1,1,1,1,1,1,1,1,3,1,1,1,2,0,2,1,1,2,1,2,2,1,2
"389","F",2,1,7,1,1,2,3,0.46454,0,0,2,3,4,3,-1,-1,-1,2,-1,0.25,0.25,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"390","F",2,2,12,2,9,1,1,0.6478,1,1,3,4,4,5,-1,0,2,2,3,0.375,1,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,1,1,1,2,3,2,1,1,2
"391","M",1,2,10,2,9,1,2,1.11694,1,1,3,5,4,5,-1,-2,1,2,0,0.125,0.75,1,0,1,1,1,2,2,2,2,4,2,3,2,2,0,2,2,1,2,1,2,1,2,1
"392","F",1,2,10,2,1,1,1,0.61825,1,1,3,5,4,5,-1,-1,2,2,2,0.25,1,1,1,1,1,0,2,2,2,2,5,2,1,2,2,0,1,2,1,3,3,1,2,1,4
"393","M",1,1,1,1,2,2,3,6.57239,0,0,1,1,1,1,-2,-1,-1,-1,-5,0.125,0.25,0.25,0,1,1,0,1,1,1,1,5,1,2,1,1,1,3,1,1,2,1,2,1,2,1
"394","F",2,9,1,1,1,2,1,1.01831,0,0,2,1,3,3,0,1,1,0,2,0.625,0.75,0.5,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,2,2,2,1,2,1,1,2
"395","F",2,2,10,2,9,1,1,0.78523,1,1,3,5,5,5,1,1,1,2,5,0.75,0.75,1,1,0,1,0,2,2,2,2,4,2,3,2,3,0,1,3,3,3,3,1,2,1,4
"396","F",2,2,12,2,1,1,2,0.88605,1,1,3,4,4,5,-1,0,2,2,3,0.375,1,1,0,0,1,1,2,2,2,2,4,2,1,2,2,0,2,2,2,3,3,1,1,2,3
"397","F",2,9,9,1,9,9,2,0.85871,0,0,3,3,3,4,1,0,1,2,4,0.625,0.75,1,1,0,1,0,1,1,1,1,5,1,3,3,1,1,2,1,3,2,1,2,1,2,1
"398","F",1,1,8,1,1,9,1,0.32527,0,0,3,3,4,5,0,1,1,1,3,0.625,0.75,0.75,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,3,1,2,1,2,1,1,2
"399","F",1,2,1,9,2,2,2,0.71054,1,1,2,1,1,3,1,0,0,0,1,0.625,0.5,0.5,1,1,1,0,3,3,5,3,5,3,2,1,1,0,2,1,1,3,2,2,1,1,2
"400","M",1,1,8,1,1,2,2,0.61825,0,0,3,3,4,5,-1,1,1,2,3,0.5,0.75,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"401","F",1,9,1,1,2,2,1,0.32527,0,0,2,1,1,3,1,1,1,0,3,0.75,0.75,0.5,1,1,1,1,3,3,5,3,5,1,2,1,1,0,1,1,2,2,1,2,1,2,1
"402","M",1,1,9,1,1,2,2,0.86128,0,0,1,3,2,1,-1,1,-1,1,0,0.5,0.25,0.75,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,3,1,2,1,2,1,2,1
"403","M",1,2,10,2,9,1,1,0.36464,1,1,3,5,4,5,2,0,2,2,6,0.75,1,1,1,1,1,1,2,2,2,2,4,2,3,2,3,0,1,3,3,3,3,3,1,3,NA
"404","M",1,1,9,1,1,2,2,0.99288,0,0,2,3,3,3,0,1,-1,1,1,0.625,0.25,0.75,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,2,1,2,1
"405","M",1,2,10,2,1,1,3,0.45452,1,1,3,5,4,5,1,1,-1,1,2,0.75,0.25,0.75,1,1,1,1,2,2,2,2,1,2,1,2,3,0,3,2,2,3,3,1,2,1,4
"406","M",1,2,12,2,9,1,3,2.17648,1,1,3,4,5,5,2,-1,0,2,3,0.625,0.5,1,0,1,1,0,2,2,2,2,5,2,3,2,2,0,3,3,1,3,3,1,2,1,4
"407","M",1,1,1,1,2,2,2,1.11694,0,0,1,1,1,1,1,-1,-2,0,-2,0.5,0,0.5,0,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,2,2,2,1,2,2,4
"408","M",1,2,10,2,1,1,2,0.36464,1,1,3,5,4,5,-1,-1,1,2,1,0.25,0.75,1,1,1,1,1,2,2,2,2,4,2,1,2,3,0,2,1,1,3,3,1,2,1,4
"409","M",2,1,2,1,1,2,2,0.90521,0,0,1,1,1,1,2,2,-1,0,3,1,0.25,0.5,1,0,1,0,3,3,1,3,1,1,1,1,1,0,2,1,1,2,1,2,1,2,1
"410","F",2,2,12,2,1,1,2,0.6478,1,1,3,4,3,4,2,2,2,2,8,1,1,1,1,0,1,0,2,2,2,2,5,2,1,2,2,0,2,NA,3,2,2,2,1,2,1
"411","M",2,2,12,2,1,1,2,0.90521,1,1,3,4,4,5,1,1,2,2,6,0.75,1,1,1,0,1,0,2,2,2,2,4,2,1,2,2,0,2,1,3,3,3,2,1,1,2
"412","M",2,1,9,1,1,2,2,1.62401,0,0,2,3,3,3,0,0,0,2,2,0.5,0.5,1,0,0,0,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,3,NA
"413","M",2,1,2,1,1,2,2,0.46454,0,0,2,1,3,3,1,0,2,1,4,0.625,1,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,2,1
"414","F",2,1,9,1,1,9,1,0.6478,0,0,3,3,3,4,0,0,0,2,2,0.5,0.5,1,1,0,1,0,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,2,2,2,1
"415","M",2,1,9,1,1,2,2,0.966,0,0,1,3,3,2,-2,-1,0,0,-3,0.125,0.5,0.5,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"416","F",2,1,9,1,1,2,2,0.90521,0,0,2,3,3,3,2,2,-1,2,5,1,0.25,1,1,0,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,1,2
"417","M",1,2,12,2,9,1,1,0.71054,1,1,3,4,5,5,-2,-2,1,2,-1,0,0.75,1,1,1,1,0,2,2,2,2,4,2,3,2,2,0,1,1,1,2,3,1,2,1,4
"418","F",2,2,10,2,2,1,2,0.61452,1,1,3,5,4,5,2,2,2,2,8,1,1,1,1,0,1,0,2,2,2,2,4,2,2,2,3,0,2,3,3,3,3,1,2,1,4
"419","M",1,1,8,1,1,2,3,1.4125,0,0,1,3,4,2,0,0,-2,2,0,0.5,0,1,1,1,0,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"420","F",1,2,12,2,1,1,1,0.86392,1,1,3,4,4,5,-1,-1,1,1,0,0.25,0.75,0.75,1,1,1,0,2,2,2,2,5,2,1,2,2,0,1,1,1,3,3,1,2,1,4
"421","F",1,2,12,2,9,1,9,0.56649,1,1,3,4,3,4,-1,1,2,-2,0,0.5,1,0,0,1,0,1,2,2,2,2,4,2,3,2,2,0,NA,3,2,3,3,1,2,1,4
"422","M",2,1,5,1,1,2,9,0.28926,0,0,1,2,2,1,-2,-1,-1,1,-3,0.125,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,NA,1,1,2,1,2,1,2,1
"423","M",1,2,10,2,9,1,2,0.97187,1,1,3,5,3,4,1,2,0,2,5,0.875,0.5,1,0,1,1,1,2,2,2,2,4,2,3,2,3,0,2,NA,1,3,3,1,2,1,4
"424","F",2,2,10,2,2,1,2,0.41439,1,1,3,5,4,5,2,1,0,2,5,0.875,0.5,1,1,0,1,1,2,2,2,2,4,2,2,2,3,0,2,3,1,3,3,1,2,1,4
"425","F",2,1,5,1,2,2,3,0.33244,0,0,1,2,1,1,2,-1,0,0,1,0.625,0.5,0.5,1,0,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,2,2,1,2,1
"426","M",1,1,9,1,1,2,3,0.97187,0,0,2,3,3,3,1,0,-1,0,0,0.625,0.25,0.5,0,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"427","M",2,1,5,1,1,2,3,0.90521,0,0,1,2,3,2,-1,-1,0,1,-1,0.25,0.5,0.75,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,3,1,2,1,2,1,2,1
"428","F",2,1,9,1,1,2,2,0.45475,0,0,2,3,3,3,1,0,0,1,2,0.625,0.5,0.75,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,3,2,1
"429","F",2,1,1,1,2,2,2,2.53685,0,0,1,1,2,1,1,2,1,-2,2,0.875,0.75,0,0,0,1,1,3,3,1,3,1,1,2,1,3,0,2,1,1,2,2,2,1,2,1
"430","F",1,1,5,1,1,2,9,0.442,0,0,1,2,3,2,1,0,0,1,2,0.625,0.5,0.75,1,1,1,1,1,1,1,1,5,1,1,1,1,1,NA,1,2,2,2,2,3,2,1
"431","F",1,2,12,2,9,1,1,1.20352,1,1,3,4,4,5,2,-1,1,2,4,0.625,0.75,1,1,1,1,0,2,2,2,2,5,2,3,2,1,0,1,1,1,3,3,2,1,1,2
"432","M",1,1,5,1,2,2,2,1.11694,0,0,1,2,3,2,-1,-1,-1,1,-2,0.25,0.25,0.75,0,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,2,2,1,2,3,2,1
"433","F",2,1,1,1,2,2,2,1.01831,0,0,1,1,2,1,2,1,-1,2,4,0.875,0.25,1,0,0,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"434","M",1,1,9,1,2,2,3,0.36464,0,0,1,3,3,2,-1,-1,-2,1,-3,0.25,0,0.75,1,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,1,2,1,2,1
"435","M",1,2,10,2,2,1,2,0.36464,1,1,2,5,3,3,2,1,1,1,5,0.875,0.75,0.75,1,1,1,1,2,2,2,2,4,2,2,2,3,0,2,3,3,3,3,1,2,1,4
"436","M",1,9,9,1,1,9,1,0.61763,0,0,2,3,3,3,-1,1,2,2,4,0.5,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,3,2,1,2,1,2,1
"437","M",1,2,12,2,1,1,2,0.44335,1,1,1,4,2,1,1,1,1,1,4,0.75,0.75,0.75,1,1,1,1,2,2,2,2,4,2,1,2,3,0,2,3,2,3,2,1,2,1,4
"438","F",2,2,12,2,9,1,2,0.85871,1,1,3,4,3,4,1,1,0,1,3,0.75,0.5,0.75,1,0,1,0,2,2,2,2,4,2,3,2,2,0,2,2,2,3,3,1,1,1,3
"439","F",2,1,7,1,2,2,9,0.44068,0,0,3,3,4,5,0,0,0,0,0,0.5,0.5,0.5,1,0,1,1,1,1,1,1,3,1,2,1,1,1,NA,NA,NA,1,2,2,3,3,NA
"440","F",1,2,12,2,9,1,2,2.78255,1,1,3,4,4,5,-1,2,1,2,4,0.625,0.75,1,0,1,1,1,2,2,2,2,4,2,3,2,3,0,2,2,1,3,2,3,3,2,NA
"441","F",1,1,5,1,1,2,1,1.20352,0,0,1,2,3,2,-1,0,-1,1,-1,0.375,0.25,0.75,1,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,2,3,3,NA
"442","M",1,9,9,1,1,9,3,0.71054,0,0,3,3,3,4,0,0,1,2,3,0.5,0.75,1,1,1,1,0,1,1,1,1,3,1,1,3,3,0,3,3,2,2,1,2,1,2,1
"443","F",2,9,4,1,1,2,1,1.44363,0,0,2,2,2,3,1,1,0,1,3,0.75,0.5,0.75,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,2
"444","M",5,2,12,2,9,1,3,0.77391,1,1,3,4,3,4,0,1,2,2,5,0.625,1,1,0,0,0,0,2,2,2,2,5,2,3,2,2,0,3,NA,1,3,3,1,1,1,3
"445","F",2,1,1,1,2,2,2,0.31537,0,0,1,1,1,1,-1,0,-1,2,0,0.375,0.25,1,1,0,1,1,3,3,1,3,1,1,2,1,1,0,2,NA,1,2,2,2,1,2,1
"446","F",2,1,1,1,1,2,3,1.98429,0,0,1,1,1,1,-1,0,-1,0,-2,0.375,0.25,0.5,0,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,2,2,1,1,1,2,3
"447","M",1,1,1,1,1,2,2,1.00281,0,0,2,1,3,3,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,0,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"448","F",2,1,9,1,1,2,3,0.6478,0,0,3,3,3,4,1,1,0,-2,0,0.75,0.5,0,1,0,1,0,1,1,1,1,5,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"449","M",1,2,12,2,1,1,3,2.79373,1,1,2,4,2,3,2,1,2,2,7,0.875,1,1,0,1,0,0,2,2,2,2,5,2,1,2,3,0,3,2,1,3,3,1,2,1,4
"450","F",2,1,5,1,1,2,2,0.31537,0,0,1,2,2,1,0,-1,0,1,0,0.375,0.5,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"451","F",2,1,5,1,1,2,2,0.33244,0,0,1,2,2,1,-1,-1,-1,2,-1,0.25,0.25,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,1,1,2,3
"452","F",1,2,10,2,1,1,2,0.36464,1,1,3,5,5,5,1,-2,1,2,2,0.375,0.75,1,1,1,1,1,2,2,2,2,4,2,1,2,2,0,2,2,3,3,3,1,2,3,4
"453","F",2,2,10,2,9,1,1,0.41439,1,1,3,5,4,5,2,2,0,1,5,1,0.5,0.75,1,0,1,1,2,2,2,2,4,2,3,2,2,0,1,1,3,3,3,1,1,1,3
"454","M",2,2,10,1,1,9,1,1.66605,1,1,3,5,3,4,0,1,1,1,3,0.625,0.75,0.75,1,0,0,0,1,1,1,1,5,1,1,3,2,0,1,2,2,1,2,1,3,3,NA
"455","F",2,2,12,2,9,1,2,1.23434,1,1,3,4,5,5,2,1,0,1,4,0.875,0.5,0.75,0,0,1,1,2,2,2,2,4,2,3,2,2,0,2,3,3,3,3,1,1,1,3
"456","M",1,1,7,1,1,9,2,0.50953,0,0,2,3,3,3,-2,-2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,2,1,1,2,1,2,1,2,1
"457","F",2,2,12,2,1,1,2,0.90521,1,1,3,4,5,5,0,0,0,1,1,0.5,0.5,0.75,1,0,1,0,2,2,2,2,4,2,1,2,3,0,2,NA,2,3,3,1,1,1,3
"458","F",2,1,1,1,9,2,3,0.99338,0,0,2,1,3,3,-1,-1,-1,1,-2,0.25,0.25,0.75,0,0,1,0,1,1,1,1,3,1,3,1,1,1,3,1,1,2,1,2,1,2,1
"459","M",2,2,10,2,9,1,9,7.88366,1,1,3,5,4,5,-2,-1,0,2,-1,0.125,0.5,1,0,0,0,0,2,2,2,2,5,2,3,2,3,0,NA,1,2,2,2,3,3,2,NA
"460","M",1,2,10,2,1,1,2,0.442,1,1,3,5,4,5,1,1,2,2,6,0.75,1,1,1,1,1,1,2,2,2,2,1,2,1,2,3,0,2,2,1,2,2,2,3,2,1
"461","F",2,9,9,1,1,9,2,0.85871,0,0,3,3,3,4,-1,-1,0,1,-1,0.25,0.5,0.75,1,0,1,0,1,1,1,1,5,1,1,3,1,1,2,1,1,2,3,2,1,1,2
"462","F",1,1,1,1,1,2,3,0.442,0,0,1,1,1,1,-2,-2,-2,1,-5,0,0,0.75,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,3,1,2,2,2,1
"463","F",2,2,10,2,9,1,1,0.69345,1,1,3,5,5,5,2,1,2,2,7,0.875,1,1,1,0,0,1,2,2,2,2,4,2,3,2,3,0,1,3,3,3,3,3,3,3,NA
"464","M",2,1,1,1,1,2,2,0.61452,0,0,1,1,3,2,2,1,-1,2,4,0.875,0.25,1,1,0,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,3,1,1,2,3
