"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"465","M",1,1,5,1,1,2,9,0.81261,0,0,1,2,3,2,0,-1,0,1,0,0.375,0.5,0.75,1,1,0,1,3,3,5,3,5,1,1,1,1,0,NA,2,2,1,2,3,3,3,NA
"466","F",2,1,2,1,1,2,2,1.01831,0,0,1,1,1,1,-1,-1,-2,0,-4,0.25,0,0.5,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"467","M",1,1,5,1,1,2,3,0.71054,0,0,1,2,2,1,-1,-2,-1,2,-2,0.125,0.25,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"468","F",2,1,9,1,1,2,2,0.33244,0,0,3,3,4,5,1,-1,0,1,1,0.5,0.5,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,2,3,NA
"469","F",1,1,9,1,1,2,2,1.30777,0,0,1,3,3,2,0,-1,0,0,-1,0.375,0.5,0.5,1,1,0,0,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,3,1,3,NA
"470","F",2,2,12,2,1,1,1,1.95678,1,1,3,4,4,5,2,2,2,2,8,1,1,1,0,0,1,0,2,2,2,2,1,2,1,2,2,0,1,3,1,3,3,2,2,1,2
"471","F",2,1,5,1,2,2,2,0.29655,0,0,1,2,1,1,2,-2,-2,1,-1,0.5,0,0.75,1,0,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"472","F",2,2,10,2,1,1,1,0.56366,1,1,3,5,5,5,-2,-2,-1,2,-3,0,0.25,1,1,0,1,0,2,2,2,2,4,2,1,2,1,0,1,1,1,1,1,1,1,1,3
"473","F",2,2,12,2,9,1,1,0.99338,1,1,3,4,4,5,1,-1,2,2,4,0.5,1,1,0,0,1,0,2,2,2,2,4,2,3,2,2,0,1,3,1,3,3,1,2,1,4
"474","M",2,1,5,1,1,2,3,0.46454,0,0,1,2,2,1,-1,-1,-1,1,-2,0.25,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"475","F",2,1,1,1,1,2,2,0.78763,0,0,2,1,3,3,1,1,0,0,2,0.75,0.5,0.5,1,0,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,3,2,1
"476","M",1,2,10,2,9,9,1,0.99288,1,1,3,5,5,5,-1,-1,-1,2,-1,0.25,0.25,1,1,1,1,0,2,2,2,2,4,2,3,3,2,0,1,3,1,2,3,2,2,1,2
"477","M",1,1,9,1,1,2,2,0.70069,0,0,2,3,3,3,-2,1,-2,1,-2,0.375,0,0.75,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"478","F",1,1,9,1,1,2,2,0.32527,0,0,3,3,3,4,0,0,0,2,2,0.5,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"479","F",2,2,10,2,9,1,1,0.78763,1,1,3,5,3,4,1,2,1,2,6,0.875,0.75,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,1,2,2,1,2,2,3,1,2
"480","M",2,9,9,1,1,9,1,1.29988,0,0,1,3,3,2,0,0,-2,-2,-4,0.5,0,0,1,0,0,0,1,1,1,1,5,1,1,3,1,1,1,NA,NA,3,2,3,3,3,NA
"481","F",1,2,12,2,9,1,9,1.50298,1,1,3,4,4,5,1,-1,1,2,3,0.5,0.75,1,1,1,0,0,2,2,2,2,5,2,3,2,2,0,NA,1,NA,3,3,1,2,3,4
"482","M",2,2,12,2,1,1,2,0.33244,1,1,2,4,4,3,1,1,2,2,6,0.75,1,1,1,0,1,1,2,2,2,2,4,2,1,2,2,0,2,2,1,2,3,1,1,1,3
"483","F",2,2,9,1,1,2,2,0.33244,1,1,3,3,3,4,2,-1,0,2,3,0.625,0.5,1,1,0,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,3,2,1,2,1
"484","F",2,2,10,2,2,1,2,0.46454,1,0,3,5,3,4,-1,-1,0,2,0,0.25,0.5,1,1,0,1,1,2,2,2,2,4,2,2,2,2,0,2,1,1,2,1,2,1,1,2
"485","F",2,2,10,2,9,1,1,0.78763,1,1,3,5,5,5,-1,0,1,2,2,0.375,0.75,1,1,0,1,0,2,2,2,2,5,2,3,2,2,0,1,2,1,3,3,1,2,1,4
"486","F",1,2,12,2,1,1,2,2.42114,1,1,3,4,5,5,0,-1,0,1,0,0.375,0.5,0.75,0,1,1,1,2,2,2,2,5,2,1,2,3,0,2,1,1,3,3,1,2,1,4
"487","M",1,2,10,2,9,1,1,1.7377,1,1,3,5,4,5,1,0,1,1,3,0.625,0.75,0.75,0,1,0,0,2,2,2,2,5,2,3,2,3,0,1,3,1,3,3,1,1,1,3
"488","F",2,1,5,1,2,2,2,0.46454,0,0,1,2,3,2,-2,-1,-1,2,-2,0.125,0.25,1,1,0,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"489","M",1,2,12,2,9,1,1,0.94807,1,1,3,4,4,5,-1,-1,1,2,1,0.25,0.75,1,0,1,1,0,2,2,2,2,5,2,3,2,3,0,1,3,1,3,2,2,1,1,2
"490","F",1,2,12,2,9,1,1,0.32527,1,1,3,4,4,5,0,0,0,2,2,0.5,0.5,1,1,1,1,1,2,2,2,2,5,2,3,2,2,0,1,2,NA,3,3,3,1,1,NA
"491","F",2,1,1,1,1,2,3,0.85871,0,0,1,1,3,2,-1,-1,-1,1,-2,0.25,0.25,0.75,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"492","F",2,2,12,2,9,1,1,0.40297,1,1,3,4,4,5,1,0,0,2,3,0.625,0.5,1,1,0,1,1,2,2,2,2,5,2,3,2,3,0,1,2,1,3,3,1,3,3,NA
"493","M",1,2,10,2,9,1,1,0.99288,1,1,3,5,3,4,0,0,0,2,2,0.5,0.5,1,1,1,1,0,2,2,2,2,4,2,3,2,3,0,1,1,1,2,3,2,3,1,2
"494","F",2,1,9,1,1,2,2,1.54059,0,0,2,3,3,3,1,1,-1,1,2,0.75,0.25,0.75,0,0,0,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,2,1,2,1
"495","M",1,2,12,2,9,1,1,0.50953,1,1,3,4,4,5,2,1,1,1,5,0.875,0.75,0.75,1,1,1,1,2,2,2,2,5,2,3,2,3,0,1,2,2,3,3,2,1,3,NA
"496","F",2,9,9,1,1,9,1,2.32096,0,0,1,3,3,2,0,2,2,2,6,0.75,1,1,1,0,0,0,1,1,1,1,5,1,1,3,1,1,1,2,2,2,1,2,1,1,2
"497","M",1,2,12,2,9,1,1,0.7049,1,1,2,4,3,3,2,2,2,2,8,1,1,1,1,1,0,1,2,2,2,2,4,2,3,2,2,0,1,3,1,3,3,1,2,2,4
"498","M",1,2,12,2,9,1,1,0.88569,1,1,3,4,4,5,1,-1,2,1,3,0.5,1,0.75,1,1,1,0,2,2,2,2,4,2,3,2,3,0,1,3,3,3,3,1,2,1,4
"499","F",2,2,10,2,1,1,2,0.90521,1,0,3,5,4,5,-2,-2,0,2,-2,0,0.5,1,1,0,1,0,2,2,2,2,4,2,1,2,2,0,2,1,1,3,3,2,1,2,1
"500","M",1,1,9,1,1,2,2,0.442,0,0,1,3,2,1,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"501","F",2,2,12,2,9,1,2,0.41439,1,1,3,4,5,5,2,-1,1,2,4,0.625,0.75,1,1,0,1,1,2,2,2,2,4,2,3,2,2,0,2,2,1,3,3,1,2,1,4
"502","M",1,1,9,1,1,2,3,2.42114,0,0,2,3,3,3,0,0,-2,1,-1,0.5,0,0.75,0,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,2,1,2,1,2,1
"503","F",1,2,12,2,2,1,2,0.50953,1,1,3,4,4,5,-1,-1,2,2,2,0.25,1,1,1,1,1,1,2,2,2,2,4,2,2,2,2,0,2,2,3,3,3,1,2,1,4
"504","F",2,1,9,1,1,2,1,0.4581,0,0,1,3,3,2,-1,-2,-1,2,-2,0.125,0.25,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,3,2,2,1,1,2
"505","M",5,2,7,2,2,2,2,0.98193,1,1,1,3,3,2,-2,-2,2,2,0,0,1,1,0,0,0,0,4,3,2,4,3,2,2,1,4,0,2,2,1,2,3,1,2,3,4
"506","F",1,2,10,2,9,1,3,2.17648,1,1,3,5,4,5,1,0,1,2,4,0.625,0.75,1,0,1,1,0,2,2,2,2,4,2,3,2,3,0,3,1,1,3,3,1,1,1,3
"507","F",4,9,3,2,1,2,1,0.59586,0,0,2,2,5,3,-2,1,1,1,1,0.375,0.75,0.75,0,0,0,0,3,3,1,3,4,2,1,1,2,0,1,2,2,2,3,2,2,1,2
"508","F",2,2,12,2,1,1,2,0.78763,1,0,3,4,4,5,-1,-1,1,2,1,0.25,0.75,1,1,0,1,0,2,2,2,2,4,2,1,2,2,0,2,1,1,3,3,1,2,2,4
"509","F",2,2,10,2,9,1,2,0.63882,1,1,3,5,3,4,-1,-1,0,2,0,0.25,0.5,1,1,0,1,0,2,2,2,2,4,2,3,2,2,0,2,2,3,2,3,1,2,3,4
"510","F",1,1,1,1,2,2,2,0.36464,0,0,1,1,1,1,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"511","M",1,2,12,2,2,1,3,1.11694,1,1,3,4,2,4,-1,-2,1,2,0,0.125,0.75,1,0,1,1,1,2,2,2,2,5,2,2,2,3,0,3,2,1,3,3,1,1,1,3
"512","F",2,9,2,2,2,1,1,0.57786,0,0,3,1,4,5,2,2,2,2,8,1,1,1,1,0,1,0,2,2,2,2,4,2,2,2,3,0,1,2,2,1,1,2,1,1,2
"513","F",1,1,1,1,2,2,3,2.42114,0,0,1,1,1,1,2,-2,-1,-1,-2,0.5,0.25,0.25,0,1,1,1,3,3,1,3,1,1,2,1,1,0,3,1,1,3,1,2,1,2,1
"514","M",1,2,12,2,1,1,2,0.36464,1,1,3,4,4,5,-1,1,-1,1,0,0.5,0.25,0.75,1,1,1,1,2,2,2,2,4,2,1,2,2,0,2,1,3,3,3,1,2,1,4
"515","F",2,1,1,1,1,2,3,0.4042,0,0,1,1,2,1,-2,1,-2,0,-3,0.375,0,0.5,1,0,1,1,3,3,1,3,1,1,1,1,1,0,3,1,1,2,1,2,1,2,1
"516","M",2,2,10,2,9,1,1,0.9053,1,1,3,5,5,5,1,1,2,2,6,0.75,1,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,1,2,1,3,3,2,3,1,2
"517","M",2,1,2,1,2,2,2,0.46454,0,0,1,1,1,1,-1,-1,-2,1,-3,0.25,0,0.75,1,0,1,1,3,3,5,3,5,1,2,1,1,0,2,1,3,2,1,2,1,2,1
"518","F",2,1,1,1,2,2,3,0.966,0,0,1,1,1,1,1,2,-2,0,1,0.875,0,0.5,0,0,1,1,3,3,1,3,1,1,2,1,1,0,3,1,1,2,1,3,1,2,NA
"519","M",1,1,4,1,2,2,2,0.61825,0,0,1,2,2,1,1,-1,0,1,1,0.5,0.5,0.75,1,1,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,3,1,1,1,3
"520","F",2,1,8,1,1,9,1,0.33244,0,0,2,3,3,3,1,2,0,2,5,0.875,0.5,1,1,0,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,2,3,2,1,1,2
"521","F",2,2,12,2,1,1,3,1.77007,1,1,3,4,4,5,0,0,2,2,4,0.5,1,1,0,0,1,0,2,2,2,2,5,2,1,2,2,0,3,2,2,2,3,2,3,1,2
"522","M",2,1,5,1,1,2,2,1.01831,0,0,1,2,3,2,0,-1,-2,0,-3,0.375,0,0.5,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"523","M",1,1,5,1,1,2,2,0.76062,0,0,1,2,2,1,-1,-2,-2,1,-4,0.125,0,0.75,1,1,0,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"524","M",2,1,4,1,1,2,2,0.40297,0,0,1,2,3,2,2,2,0,1,5,1,0.5,0.75,1,0,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,2,1,2,1,3,NA
"525","F",1,1,5,1,9,2,3,0.35959,0,0,1,2,2,1,-1,-1,-2,1,-3,0.25,0,0.75,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,2,1,2,2,2,1
"526","M",1,2,12,2,9,1,2,0.71054,1,0,3,4,3,4,1,1,1,2,5,0.75,0.75,1,1,1,1,0,2,2,2,2,5,2,3,2,2,0,2,1,1,3,3,1,1,1,3
"527","M",1,1,9,1,1,2,2,0.34591,0,0,2,3,2,3,-1,-1,2,2,2,0.25,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,2,2,1,2,1,1,2
"528","F",2,1,9,1,1,2,2,0.33244,0,0,1,3,3,2,-1,-1,-2,2,-2,0.25,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,2,1,2,1
"529","M",1,1,1,1,2,2,2,0.50953,0,0,1,1,1,1,0,0,-2,0,-2,0.5,0,0.5,1,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"530","F",2,1,2,1,1,2,2,1.01831,0,0,1,1,2,1,-1,1,-1,0,-1,0.5,0.25,0.5,0,0,1,1,1,1,1,1,5,1,1,1,1,1,2,1,3,2,1,2,1,2,1
"531","F",2,1,2,1,1,2,3,0.56366,0,0,1,1,3,2,-1,-1,0,2,0,0.25,0.5,1,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,3,1,2,1,2,1,2,1
"532","F",2,1,9,1,1,2,2,1.01831,0,0,1,3,1,1,1,1,-2,-1,-1,0.75,0,0.25,0,0,1,1,1,1,1,1,5,1,1,1,1,1,2,1,2,2,1,2,1,2,1
"533","F",2,1,5,1,1,2,2,0.33244,0,0,1,2,1,1,1,0,-1,2,2,0.625,0.25,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,3,1,2,1,2,1
"534","F",2,1,9,1,1,2,1,0.88605,0,0,1,3,3,2,-2,-1,0,0,-3,0.125,0.5,0.5,0,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,3,2,1
"535","M",1,9,10,2,2,1,2,0.63383,0,1,3,5,5,5,2,2,2,2,8,1,1,1,1,1,1,0,2,2,2,2,4,2,2,2,2,0,2,3,1,2,2,2,1,3,NA
"536","M",1,2,12,2,1,1,3,0.97187,1,0,3,4,5,5,-1,0,1,1,1,0.375,0.75,0.75,0,1,1,1,2,2,2,2,4,2,1,2,2,0,3,1,2,3,3,1,2,3,4
"537","M",1,2,10,2,9,9,1,0.61825,1,1,3,5,5,5,1,0,2,2,5,0.625,1,1,1,1,1,0,2,2,2,2,5,2,3,3,3,0,1,NA,2,2,3,2,1,1,2
"538","F",2,1,1,1,1,2,2,0.80748,0,0,2,1,3,3,0,0,0,0,0,0.5,0.5,0.5,1,0,1,0,1,1,1,1,5,1,1,1,1,1,2,3,1,2,2,2,1,2,1
"539","F",2,1,5,1,1,2,2,0.33244,0,0,1,2,2,1,0,1,0,0,1,0.625,0.5,0.5,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,3,2,1
"540","F",1,2,12,2,9,1,1,0.67404,1,1,3,4,4,5,-2,-2,-2,1,-5,0,0,0.75,1,1,1,0,2,2,2,2,5,2,3,2,2,0,1,3,1,3,3,1,2,1,4
"541","M",2,1,9,1,1,2,2,1.23434,0,0,1,3,2,1,-1,-1,-2,0,-4,0.25,0,0.5,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"542","M",1,2,11,2,1,1,1,0.50953,1,1,3,4,5,5,1,-1,1,2,3,0.5,0.75,1,1,1,1,1,2,2,2,2,4,2,1,2,2,0,1,1,1,3,3,2,1,1,2
"543","F",2,2,10,2,9,1,1,1.72656,1,1,3,5,5,5,-1,0,1,2,2,0.375,0.75,1,0,0,1,0,2,2,2,2,5,2,3,2,3,0,1,2,1,1,3,1,2,1,4
"544","F",2,1,1,1,2,2,2,0.90521,0,0,2,1,1,3,-1,-1,-1,0,-3,0.25,0.25,0.5,1,0,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"545","F",2,2,10,2,9,1,2,0.46454,1,1,3,5,4,5,0,-1,0,1,0,0.375,0.5,0.75,1,0,1,1,2,2,2,2,5,2,3,2,3,0,2,3,2,3,3,1,2,1,4
"546","F",2,1,1,1,1,2,3,7.88366,0,0,1,1,2,1,-1,1,1,-2,-1,0.5,0.75,0,0,0,0,0,1,1,1,1,5,1,1,1,1,1,3,1,3,2,1,2,1,2,1
"547","M",1,2,12,2,1,1,1,0.36464,1,1,3,4,4,5,-1,-2,2,2,1,0.125,1,1,1,1,1,1,2,2,2,2,5,2,1,2,2,0,1,2,1,3,3,1,2,1,4
"548","F",2,1,1,1,1,2,2,0.56309,0,0,1,1,2,1,-1,1,-1,1,0,0.5,0.25,0.75,1,0,1,1,1,1,1,1,5,1,1,1,1,1,2,1,2,2,1,2,1,1,2
"549","M",1,2,12,1,1,9,1,1.3539,1,0,3,4,4,5,2,0,0,2,4,0.75,0.5,1,0,1,1,1,1,1,1,1,5,1,1,3,3,0,1,2,2,2,2,2,1,1,2
"550","F",1,9,1,1,2,9,3,4.71786,0,0,1,1,3,2,1,0,-2,-2,-3,0.625,0,0,0,1,1,0,5,5,5,5,5,1,2,3,4,0,3,1,2,2,2,2,1,2,1
"551","M",1,1,5,1,1,2,2,0.44335,0,0,1,2,3,2,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,2,1,2,1,2,1
"552","M",1,1,9,1,1,2,2,0.81261,0,0,3,3,3,4,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,0,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"553","M",1,1,2,1,2,2,2,0.36464,0,0,1,1,2,1,-1,-1,0,1,-1,0.25,0.5,0.75,1,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,2,2,1,1,2
"554","F",2,1,9,1,1,9,2,0.33244,0,0,2,3,3,3,-1,0,0,2,1,0.375,0.5,1,1,0,1,1,1,1,1,1,5,1,1,3,1,1,2,1,1,2,2,2,1,2,1
"555","F",1,2,12,2,2,1,2,1.50212,1,1,2,4,4,3,2,1,2,2,7,0.875,1,1,1,1,0,0,2,2,2,2,4,2,2,2,2,0,2,2,1,3,3,2,1,1,2
"556","F",2,1,9,1,1,2,1,0.74085,0,0,2,3,3,3,-1,0,0,2,1,0.375,0.5,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,2,1,2,1
"557","M",1,2,6,1,1,1,2,0.99288,1,1,3,2,3,4,1,1,2,2,6,0.75,1,1,1,1,1,0,4,5,5,4,5,1,1,2,4,0,2,1,1,3,2,2,1,1,2
"558","M",2,2,7,2,1,1,1,0.28926,1,1,3,3,5,5,-1,-1,0,2,0,0.25,0.5,1,1,0,1,1,2,2,2,2,5,2,1,2,2,0,1,1,1,3,3,1,2,1,4
"559","F",1,2,10,2,1,1,3,0.36464,1,1,3,5,5,5,-2,1,2,2,3,0.375,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,0,3,2,1,3,3,1,2,1,4
"560","F",2,2,12,2,1,1,2,0.78763,1,0,3,4,3,4,-2,0,0,0,-2,0.25,0.5,0.5,1,0,1,0,2,2,2,2,1,2,1,2,2,0,2,1,1,2,2,2,1,2,1
"561","F",2,2,9,1,1,2,2,0.80748,1,0,2,3,3,3,-1,-1,-1,0,-3,0.25,0.25,0.5,1,0,1,0,1,1,1,1,4,1,1,1,1,1,2,1,1,2,1,2,1,1,2
"562","M",1,2,10,2,9,1,3,5.49314,1,1,2,5,3,3,2,1,-1,0,2,0.875,0.25,0.5,0,1,0,0,2,2,2,2,5,2,3,2,2,0,3,2,1,2,3,1,3,3,NA
"563","M",1,2,10,2,2,1,1,0.88569,1,1,3,5,5,5,1,2,1,2,6,0.875,0.75,1,1,1,1,0,2,2,2,2,1,2,2,2,3,0,1,2,2,2,3,2,2,1,2
"564","M",1,1,5,1,1,2,1,0.50953,0,0,1,2,2,1,-1,-1,0,1,-1,0.25,0.5,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,1
"565","F",2,2,7,2,2,1,3,0.56309,1,1,3,3,4,5,0,-2,-1,0,-3,0.25,0.25,0.5,1,0,1,1,2,2,2,2,4,2,2,2,2,0,3,1,1,3,3,2,1,1,2
"566","M",1,2,10,2,9,1,1,0.86392,1,1,2,5,4,3,2,2,0,2,6,1,0.5,1,1,1,1,0,2,2,2,2,5,2,3,2,3,0,1,NA,3,2,3,1,1,1,3
"567","M",2,1,1,1,2,2,3,1.87422,0,0,1,1,1,1,-1,2,2,-1,2,0.625,1,0.25,0,0,0,1,1,1,1,1,3,1,2,1,1,1,3,1,2,2,1,2,1,1,2
"568","M",5,2,10,2,9,1,2,0.21807,1,1,2,5,3,3,2,0,2,2,6,0.75,1,1,1,0,0,1,2,2,2,2,4,2,3,2,2,0,2,1,1,2,2,3,1,3,NA
"569","M",1,9,9,1,1,9,2,0.99288,0,0,2,3,3,3,-2,0,-2,0,-4,0.25,0,0.5,1,1,1,0,1,1,1,1,5,1,1,3,4,0,2,1,1,2,2,2,1,2,1
"570","F",2,1,8,1,2,2,3,0.61452,0,0,1,3,2,1,0,1,-2,1,0,0.625,0,0.75,1,0,1,0,1,1,1,1,3,1,2,1,1,1,3,1,1,2,1,2,1,2,1
"571","M",1,2,10,2,2,1,1,0.94188,1,1,3,5,4,5,-1,2,2,2,5,0.625,1,1,1,1,1,0,2,2,2,2,4,2,2,2,3,0,1,3,2,3,3,2,1,1,2
"572","F",2,2,9,1,1,9,1,0.56309,1,1,3,3,4,5,-1,-2,0,2,-1,0.125,0.5,1,1,0,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,2,1,2,1
"573","M",1,2,12,2,2,1,2,0.59326,1,1,2,4,3,3,-2,1,0,2,1,0.375,0.5,1,1,1,0,1,2,2,2,2,5,2,2,2,3,0,2,3,1,3,3,1,2,3,4
"574","F",2,1,5,1,2,2,2,1.72656,0,0,1,2,3,2,-1,-2,-2,-2,-7,0.125,0,0,0,0,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,2,2,1
"575","M",1,1,7,1,1,2,2,1.05957,0,0,3,3,4,5,1,1,-1,1,2,0.75,0.25,0.75,0,1,1,1,1,1,1,1,3,1,1,1,2,0,2,1,1,2,1,2,2,2,1
"576","M",1,2,12,2,2,1,2,1.58345,1,1,3,4,4,5,-1,0,2,1,2,0.375,1,0.75,1,1,0,0,2,2,2,2,4,2,2,2,2,0,2,2,1,3,3,1,2,1,4
"577","M",1,2,12,2,1,1,3,0.99288,1,1,3,4,5,5,-1,-1,2,2,2,0.25,1,1,1,1,1,0,2,2,2,2,4,2,1,2,2,0,3,3,1,3,3,1,1,1,3
"578","M",1,2,10,2,9,1,1,3.29277,1,1,3,5,5,5,2,-2,1,2,3,0.5,0.75,1,0,1,0,0,2,2,2,2,5,2,3,2,2,0,1,3,2,3,3,1,2,1,4
"579","M",1,2,10,2,9,1,9,0.35959,1,1,3,5,4,5,1,-1,-1,2,1,0.5,0.25,1,1,1,1,1,2,2,2,2,4,2,3,2,3,0,NA,3,1,3,3,1,3,3,NA
"580","M",1,9,1,1,9,9,9,0.99288,0,0,2,1,3,3,0,0,0,1,1,0.5,0.5,0.75,1,1,1,0,1,1,1,1,3,1,3,3,4,0,NA,NA,NA,1,1,3,3,3,NA
"581","M",1,1,4,1,2,2,2,2.14631,0,0,1,2,3,2,-1,-2,-1,1,-3,0.125,0.25,0.75,0,1,1,0,1,1,1,1,3,1,2,1,1,1,2,1,1,2,1,3,1,2,NA
